ModelType,Lags,Hidden,Layers,Dropout,Learning_Rate,Epochs,RMSE,MAPE,R
LSTM,3,32,2,0.4,0.001,50,3.045468739855653,50.553030873691625,0.9577127022471802
LSTM,3,32,2,0.4,0.001,100,0.8584085065572216,51.90415525360784,0.9456052345887279
LSTM,3,32,2,0.4,0.001,150,1.8981387938819103,58.98538423425689,0.9538037673555746
LSTM,3,32,4,0.4,0.001,50,3.758337662821001,71.06304480520855,0.9276921545157355
LSTM,3,32,4,0.4,0.001,100,0.7310437165469014,82.1595065219338,0.9300679269124046
LSTM,3,32,4,0.4,0.001,150,2.2124468124474186,57.78255959604984,0.9307434201721603
LSTM,3,32,8,0.4,0.001,50,1.5173037560692784,269.34962005113584,-0.039001896216085685
LSTM,3,32,8,0.4,0.001,100,3.318064833611993,232.2130791939399,0.05480497088781637
LSTM,3,32,8,0.4,0.001,150,1.5164251076547723,269.36806179676586,nan
LSTM,5,32,2,0.4,0.001,50,0.48800765642499,65.63711752416597,0.9423151266408083
LSTM,5,32,2,0.4,0.001,100,0.6122775091028609,42.59815051886158,0.9553129097186206
LSTM,5,32,2,0.4,0.001,150,0.01583489024407976,52.80744546063578,0.9554712004039834
LSTM,5,32,4,0.4,0.001,50,3.8446234600035436,66.84566926418228,0.9208192110509575
LSTM,5,32,4,0.4,0.001,100,1.3206015993683622,59.4709289960405,0.9303878205927576
LSTM,5,32,4,0.4,0.001,150,0.7609359379290214,50.27247333742704,0.9628324644667576
LSTM,5,32,8,0.4,0.001,50,1.5218419645631742,269.25450626186966,-0.03718820495179446
LSTM,5,32,8,0.4,0.001,100,1.5168781029550653,269.3585654992297,nan
LSTM,5,32,8,0.4,0.001,150,1.5175027596323114,269.3454706047323,nan
LSTM,7,32,2,0.4,0.001,50,0.7313215897684282,95.48956828826623,0.9166718045678438
LSTM,7,32,2,0.4,0.001,100,2.059705065888381,117.15644554250918,0.8676565069846653
LSTM,7,32,2,0.4,0.001,150,0.8581943591215604,60.1007176973956,0.9362951286023056
LSTM,7,32,4,0.4,0.001,50,0.21376423558369897,75.70862211525285,0.9016913989226839
LSTM,7,32,4,0.4,0.001,100,2.2596815088118873,49.36333245544586,0.9291598067156167
LSTM,7,32,4,0.4,0.001,150,1.4644489394000362,54.17800741330455,0.9362360904631377
LSTM,7,32,8,0.4,0.001,50,1.525489742405857,269.1780364593097,-0.03718820495179446
LSTM,7,32,8,0.4,0.001,100,1.5318078743784052,269.0455875246411,nan
LSTM,7,32,8,0.4,0.001,150,1.5180272805063348,269.33447489179565,nan
LSTM,3,64,2,0.4,0.001,50,3.5720866340679476,53.165582173580994,0.9617107910626399
LSTM,3,64,2,0.4,0.001,100,2.4499443825592295,49.88143508646454,0.9624197390608764
LSTM,3,64,2,0.4,0.001,150,1.9867291344830205,48.28888400157574,0.9602024130478749
LSTM,3,64,4,0.4,0.001,50,4.953922591381126,95.3765282802575,0.8495264698642176
LSTM,3,64,4,0.4,0.001,100,0.23115335078781002,87.72667096226641,0.896839852820952
LSTM,3,64,4,0.4,0.001,150,1.7131419459208226,65.2568487640317,0.9492895156134211
LSTM,3,64,8,0.4,0.001,50,1.5124790358081088,269.45079851494233,0.03718820495179444
LSTM,3,64,8,0.4,0.001,100,1.5396231957749977,268.88175197617954,-0.03718820495179446
LSTM,3,64,8,0.4,0.001,150,1.5135926553086891,269.4274392768752,-0.0704352879509584
LSTM,5,64,2,0.4,0.001,50,0.5401956077427745,75.34595407124853,0.9346662640511586
LSTM,5,64,2,0.4,0.001,100,0.828472154622593,72.0586931093753,0.929108628636369
LSTM,5,64,2,0.4,0.001,150,0.5852372560474681,77.93583759541069,0.9458932335715002
LSTM,5,64,4,0.4,0.001,50,5.996581603285349,83.86363323113738,0.8303165813241843
LSTM,5,64,4,0.4,0.001,100,3.133739064604952,71.14973371141856,0.9249404747554664
LSTM,5,64,4,0.4,0.001,150,0.9018711304070216,44.86638021952699,0.9568419699821135
LSTM,5,64,8,0.4,0.001,50,1.513077776848114,269.43823348034897,0.03718820495179443
LSTM,5,64,8,0.4,0.001,100,1.524318453347584,269.2025064486532,0.46011850548457234
LSTM,5,64,8,0.4,0.001,150,1.5213460671274286,269.2649020172145,nan
LSTM,7,64,2,0.4,0.001,50,1.1177343080578748,91.1293415203937,0.9209534631193153
LSTM,7,64,2,0.4,0.001,100,2.5149561229505037,138.3946162639004,0.8009110765475249
LSTM,7,64,2,0.4,0.001,150,0.180142117339158,49.7302151422082,0.9532597518447963
LSTM,7,64,4,0.4,0.001,50,5.9646970413398215,173.33256717992742,0.6101636821170838
LSTM,7,64,4,0.4,0.001,100,5.796460286401976,72.3804681668489,0.8248894883394428
LSTM,7,64,4,0.4,0.001,150,0.5761835581708152,76.28778127686773,0.936840152370057
LSTM,7,64,8,0.4,0.001,50,1.5711449586123312,268.2213617057771,0.0531692755873435
LSTM,7,64,8,0.4,0.001,100,1.5348738712617236,268.98130387464715,-0.051510597808034526
LSTM,7,64,8,0.4,0.001,150,1.5532911979590758,268.5952098859575,-0.06884527414145147
LSTM,3,128,2,0.4,0.001,50,4.21672583286782,57.94675726948198,0.9550546821331138
LSTM,3,128,2,0.4,0.001,100,0.5218186404896575,55.27389886152187,0.9499315401227619
LSTM,3,128,2,0.4,0.001,150,1.4882020012493609,66.8739937231615,0.9609733391249197
LSTM,3,128,4,0.4,0.001,50,3.9882902755631635,218.71793170290007,0.23068638886318998
LSTM,3,128,4,0.4,0.001,100,7.93585110899484,146.7840143782458,-0.06081848275341279
LSTM,3,128,4,0.4,0.001,150,1.541220428540766,268.84826752084757,-0.03718820495179443
LSTM,3,128,8,0.4,0.001,50,7.768993463542653,149.46368977672074,0.04973013268941703
LSTM,3,128,8,0.4,0.001,100,1.5224646531313741,269.2414707448874,0.03718820495179444
LSTM,3,128,8,0.4,0.001,150,1.525847555197507,269.18229031641283,0.04432186749380309
LSTM,5,128,2,0.4,0.001,50,0.08224839318822295,57.77170820678812,0.9495428676989901
LSTM,5,128,2,0.4,0.001,100,0.10492760058585296,91.66885666045319,0.9081196158549212
LSTM,5,128,2,0.4,0.001,150,0.6519481151718182,60.01163700085929,0.948353658976534
LSTM,5,128,4,0.4,0.001,50,6.446855173877071,171.25838757139698,0.43339451650528626
